phase,i53,i85
297,-45.364385,-62.575183
298,-44.841930,-61.592669
299,-44.306971,-60.609070
300,-43.759962,-59.624493
301,-43.201347,-58.639031
302,-42.631560,-57.652764
303,-42.051021,-56.665766
304,-41.460140,-55.678099
305,-40.859314,-54.689822
306,-40.248928,-53.700983
307,-39.629355,-52.711629
308,-39.000957,-51.721801
309,-38.364081,-50.731534
310,-37.719066,-49.740862
311,-37.066236,-48.749815
312,-36.405906,-47.758421
313,-35.738378,-46.766703
314,-35.063946,-45.774684
315,-34.382890,-44.782385
316,-33.695483,-43.789825
317,-33.001986,-42.797021
318,-32.302651,-41.803988
319,-31.597722,-40.810743
320,-30.887431,-39.817297
321,-30.172006,-38.823664
322,-29.451663,-37.829855
323,-28.726612,-36.835881
324,-27.997055,-35.841752
325,-27.263187,-34.847477
326,-26.525195,-33.853065
327,-25.783262,-32.858524
328,-25.037563,-31.863862
329,-24.288266,-30.869085
330,-23.535535,-29.874201
331,-22.779528,-28.879216
332,-22.020398,-27.884135
333,-21.258293,-26.888964
334,-20.493356,-25.893709
335,-19.725726,-24.898374
336,-18.955538,-23.902964
337,-18.182922,-22.907484
338,-17.408006,-21.911938
339,-16.630913,-20.916330
340,-15.851763,-19.920664
341,-15.070673,-18.924944
342,-14.287757,-17.929173
343,-13.503127,-16.933354
344,-12.716891,-15.937491
345,-11.929155,-14.941588
346,-11.140025,-13.945646
347,-10.349601,-12.949669
348,-9.557984,-11.953661
349,-8.765273,-10.957623
350,-7.971563,-9.961558
351,-7.176951,-8.965469
352,-6.381530,-7.969359
353,-5.585394,-6.973230
354,-4.788633,-5.977085
355,-3.991339,-4.980925
356,-3.193601,-3.984754
357,-2.395510,-2.988574
358,-1.597154,-1.992386
359,-0.798621,-0.996194
360,-0.000000,-0.000000
