lon,lat
130.380982,19.340944
130.684919,18.955538
130.987301,18.569526
131.288165,18.182922
131.587551,17.795744
131.885495,17.408006
132.182036,17.019724
132.477211,16.630913
132.771056,16.241587
133.063608,15.851763
133.354903,15.461453
133.644976,15.070673
133.933863,14.679436
134.221599,14.287757
134.508219,13.895649
134.793756,13.503127
135.078246,13.110203
135.361723,12.716891
135.644219,12.323204
135.925768,11.929155
136.206403,11.534758
136.486157,11.140025
136.765062,10.744968
137.043152,10.349601
137.320457,9.953936
137.597011,9.557984
137.872844,9.161759
138.147988,8.765273
138.422474,8.368537
138.696334,7.971563
138.969598,7.574364
139.242298,7.176951
139.514463,6.779336
139.786125,6.381530
140.057314,5.983546
140.328059,5.585394
140.598392,5.187086
140.868341,4.788633
141.137938,4.390047
141.407211,3.991339
141.676190,3.592520
141.944905,3.193601
142.213386,2.794594
142.481662,2.395510
142.749762,1.996359
143.017715,1.597154
143.285552,1.197904
143.553301,0.798621
143.820991,0.399316
144.088652,0.000000
144.356313,-0.399316
144.624004,-0.798621
144.891752,-1.197904
145.159589,-1.597154
145.427543,-1.996359
145.695643,-2.395510
145.963918,-2.794594
146.232399,-3.193601
146.501114,-3.592520
146.770094,-3.991339
147.039367,-4.390047
147.308963,-4.788633
147.578912,-5.187086
147.849245,-5.585394
148.119990,-5.983546
148.391179,-6.381530
148.662841,-6.779336
148.935006,-7.176951
149.207706,-7.574364
149.480970,-7.971563
149.754830,-8.368537
150.029317,-8.765273
150.304461,-9.161759
150.580294,-9.557984
150.856847,-9.953936
151.134152,-10.349601
151.412242,-10.744968
151.691147,-11.140025
151.970901,-11.534758
152.251537,-11.929155
152.533086,-12.323204
152.815582,-12.716891
153.099058,-13.110203
153.383548,-13.503127
153.669086,-13.895649
153.955705,-14.287757
154.243441,-14.679436
154.532328,-15.070673
154.822401,-15.461453
155.113696,-15.851763
155.406248,-16.241587
155.700093,-16.630913
155.995268,-17.019724
156.291809,-17.408006
156.589754,-17.795744
156.889139,-18.182922
157.190003,-18.569526
157.492385,-18.955538
157.796322,-19.340944
158.101854,-19.725726
158.409019,-20.109869
158.717859,-20.493356
159.028414,-20.876170
159.340723,-21.258293
159.654828,-21.639708
159.970772,-22.020398
160.288595,-22.400344
160.608341,-22.779528
160.930052,-23.157931
161.253773,-23.535535
161.579546,-23.912320
161.907417,-24.288266
162.237431,-24.663354
162.569632,-25.037563
162.904067,-25.410873
163.240783,-25.783262
163.579827,-26.154710
163.921245,-26.525195
164.265086,-26.894695
164.611399,-27.263187
164.960233,-27.630648
165.311638,-27.997055
165.665663,-28.362384
166.022359,-28.726612
166.381778,-29.089713
166.743971,-29.451663
167.108991,-29.812436
167.476890,-30.172006
167.847722,-30.530347
168.221541,-30.887431
168.598401,-31.243232
168.978357,-31.597722
169.361464,-31.950871
169.747778,-32.302651
170.137356,-32.653033
170.530254,-33.001986
170.926530,-33.349480
171.326241,-33.695483
171.729445,-34.039964
172.136201,-34.382890
172.546567,-34.724229
172.960603,-35.063946
173.378368,-35.402007
173.799922,-35.738378
174.225326,-36.073023
174.654638,-36.405906
175.087921,-36.736989
175.525234,-37.066236
175.966638,-37.393608
176.412194,-37.719066
176.861963,-38.042570
177.316006,-38.364081
177.774383,-38.683557
178.237155,-39.000957
178.704383,-39.316237
179.176126,-39.629355
179.652445,-39.940267
nan,nan
-179.866602,-40.248928
-179.380954,-40.555292
-178.890555,-40.859314
-178.395345,-41.160946
-177.895269,-41.460140
-177.390269,-41.756848
-176.880291,-42.051021
-176.365280,-42.342608
-175.845184,-42.631560
-175.319950,-42.917823
-174.789527,-43.201347
-174.253867,-43.482078
-173.712923,-43.759962
-173.166648,-44.034945
-172.614999,-44.306971
-172.057934,-44.575985
-171.495413,-44.841930
-170.927399,-45.104750
-170.353857,-45.364385
-169.774755,-45.620778
-169.190063,-45.873869
-168.599754,-46.123600
-168.003806,-46.369909
-167.402198,-46.612736
-166.794913,-46.852020
-166.181939,-47.087699
-165.563265,-47.319712
-164.938887,-47.547995
-164.308804,-47.772487
-163.673018,-47.993123
-163.031538,-48.209842
-162.384376,-48.422579
-161.731549,-48.631271
-161.073080,-48.835856
-160.408996,-49.036268
-159.739330,-49.232445
-159.064120,-49.424323
-158.383412,-49.611840
-157.697254,-49.794932
-157.005703,-49.973538
-156.308821,-50.147594
-155.606677,-50.317040
-154.899343,-50.481815
-154.186903,-50.641859
-153.469443,-50.797111
-152.747057,-50.947514
-152.019845,-51.093010
-151.287916,-51.233542
-150.551382,-51.369055
-149.810364,-51.499495
-149.064989,-51.624808
-148.315391,-51.744943
-147.561709,-51.859850
-146.804091,-51.969481
-146.042687,-52.073789
-145.277658,-52.172728
-144.509168,-52.266256
-143.737387,-52.354332
-142.962492,-52.436916
-142.184664,-52.513972
-141.404089,-52.585464
-140.620960,-52.651360
-139.835471,-52.711629
-139.047824,-52.766244
-138.258223,-52.815180
-137.466874,-52.858413
-136.673991,-52.895923
-135.879785,-52.927693
-135.084474,-52.953707
-134.288277,-52.973953
